precipitacao;pressao;temperatura;umidade
0;886.6;22.5;68
0;888.2;23.1;61
0;884.6;28;44
0;885.4;23.7;59
0;886.2;24.3;58
0;884.5;27.5;44
0;885.8;23.6;66
0;888.1;26;53
0;885.7;28.3;47
0;886.8;21.9;72
0;888.3;24.7;70
1.4;885.7;22.9;73
0;887.9;18.9;84
0;887.4;22;69
0;884.1;27.4;50
4.4;883.9;20.2;91
1.4;884.9;24.5;68
0;882.3;27.8;49
30.6;883.8;18.3;90
.4;886.5;19.9;82
0;886.3;24;63
9.6;996.5;19.4;91
.2;887.9;22.6;69
0;885.5;27.6;49
0;886.2;23.5;66
0;888.1;25.3;62
0;884.9;29.6;44
0;885.9;24.2;71
0;887.3;24;74
0;884.3;28.9;50
8;887;20.2;80
0;887.5;21.6;79
0;884.3;28.1;49
0;885.7;22.5;85
0;886.3;25.6;67
0;882.9;29.4;42
30;885.8;19.7;93
2.2;887.1;23.4;71
.4;884.5;24.3;70
3.4;885.7;20.7;91
0;886.5;22.2;78
0;885;26.1;64
0;885.7;21.2;89
0;887.5;22.3;82
10.6;885.8;19.4;92
.8;885.7;21.5;87
0;886.2;23.5;74
0;884.2;27.7;54
0;884.6;23.6;73
2.8;886.2;22.5;77
0;883.9;23.3;78
0;888.5;20.5;87
0;886.7;22.3;71
0;885.1;20.7;83
0;884.9;20.1;90
.2;886.6;21.1;81
10.4;884.9;19;99
.3;884.7;17.9;92
0;887.1;21.3;68
0;884.1;24.2;66
0;884.9;20.9;83
0;886.2;21.9;78
0;884;27.2;52
0;884.9;23;74
0;887.4;23.2;64
0;884.9;27.8;44
0;886.2;23.3;57
0;887.7;23.5;61
0;885.3;28;43
0;885.8;23.4;61
0;887.3;24.1;55
0;885.9;26.8;43
0;886.7;23.4;53
0;889.3;23;55
0;887.5;27.3;46
0;888.3;22.8;67
0;889.4;22.7;58
0;887;27.3;40
0;886.5;23.7;54
0;888.1;22.9;61
0;885.4;28.9;37
0;884.7;23.6;54
0;887;23.5;59
0;883.9;28;43
72.4;886.1;17.3;91
.1;887.8;23.8;62
0;884.6;27.6;48
52.8;886.3;17.3;97
.8;887.4;22.4;70
0;885.3;26.7;55
0;884.9;23;66
0;887.1;22.9;55
0;884.2;27;40
0;885;20.4;80
0;887.1;25;48
0;884.9;28.7;39
0;885;22.9;71
0;888.2;24.3;56
0;885.7;28.9;45
0;885.9;24.7;59
0;887.8;24.7;60
0;884.5;30.7;33
14.2;886.3;18.9;86
0;886.9;23.3;76
0;884.3;28.4;44
10.2;884.7;19.5;88
0;887;22.7;74
0;884.2;28.6;47
0;885.8;23.8;65
0;888.5;22.3;79
0;885.1;26.5;61
11.6;887.3;18.8;93
4.1;888.1;23.1;67
0;884.1;27.5;53
63.4;885.3;20;94
6.8;884.9;21.7;90
0;881.8;26.2;64
0;883.7;22.7;82
1.4;884.9;21.1;92
2.8;883.1;19.4;94
.1;885.4;19.3;90
0;885.3;19.8;91
.6;883.1;20.2;90
5;883.8;19.2;97
15;884.9;20;89
1.4;882.9;23.8;67
27.4;883.7;18.4;93
.2;886.3;18;98
0;883.5;24.3;61
0;885.1;20.3;90
0;886.7;22.9;72
0;883.9;27.8;50
0;885.8;22.1;79
.2;886.5;22.3;79
.9;884.1;23.3;73
.1;885.9;20.3;84
13;886.7;20.2;92
9.9;885.8;20.1;92
13.8;887.7;17.8;97
.4;887.7;21.8;77
1.8;885.1;21.1;85
21.4;885.8;18.4;98
0;887.8;20.7;88
2.9;883.9;25.3;65
6;885.1;19.4;94
17.4;885.9;21.1;85
0;883.1;26.3;54
0;884.2;20.1;89
0;885.7;20.6;89
1.1;882.9;26.2;61
70;883.1;18.9;95
.2;883.5;21.3;87
0;881.7;23.8;72
9;883.5;19.4;96
4.7;884.7;21.2;89
1.2;882.6;22.5;88
0;883.4;20.4;91
0;885.7;21.4;84
.6;883;25.8;66
1.2;885.3;20.3;94
0;887.7;21.4;87
1.4;883.9;24.8;72
19;885.3;19.8;95
2;887.7;21.3;91
0;885.4;24.1;70
7.4;887.5;19.2;97
37;887.1;19.3;87
0;884.9;25.3;59
0;886.6;20.6;87
0;887.7;22.5;77
0;888.5;23.1;73
6.2;887.7;19.7;91
0;888.9;22.3;76
2.4;886.1;24;71
0;885.8;20.4;87
0;887.3;22.8;81
14.2;884.6;23.9;71
0;884.4;20.1;92
2.2;885.8;20.8;88
.2;884.5;22;81
0;884.7;19.1;90
2;885.9;19.1;95
14.8;883.7;19.2;95
10;885.5;18.1;96
2.6;886.7;19.1;84
0;884.3;21.7;79
3.4;883.8;19;94
0;885.7;20.5;76
.2;883;23.4;64
0;883.7;20.3;86
0;887.1;21.2;78
0;884.7;25.5;58
0;887.4;21.2;79
0;889.3;21.2;75
0;886.7;26.6;53
0;887.7;22.8;67
0;887.7;23;59
0;886.5;26.9;48
0;886.3;23.4;66
0;887.5;23.9;69
0;883.9;28.8;43
0;885.5;22.5;70
0;886.6;23.8;68
0;884.2;27.1;46
.1;884.9;19.6;87
0;887.9;21;86
3.8;884.2;27;53
0;886.5;21.7;79
0;887.7;22.2;76
19.4;884.9;21.5;82
29.6;886.9;18.4;96
.4;886.6;20.8;83
0;887.1;26.5;52
0;885.1;21;83
0;886.3;19.7;87
0;883.3;25;56
0;885.7;20;89
0;887.4;21.5;83
0;885.1;25.7;64
0;886.6;20.9;86
0;888.3;20.9;87
42.2;885.7;17.9;98
1.4;886.9;20.1;93
.6;887.9;22.4;84
1.4;884.9;26.4;50
0;887.4;21.9;80
0;888.7;22.1;78
0;885.7;26.4;53
24.2;888.1;18.9;97
3.8;888.9;22.2;80
0;885.5;25;64
14.4;886.5;19.7;89
0;887.7;20.6;81
0;884.2;24.2;64
0;885.7;21.5;83
0;886.8;22.2;69
0;883.7;24.2;61
0;885.4;20.3;85
0;886.3;21.1;72
0;883.1;25.8;56
0;885.4;19.9;90
0;886.9;21.4;83
.9;884.9;24.5;63
4.2;886.7;18.1;93
0;889.4;21.9;79
0;886.7;26.9;51
0;888.7;22.3;72
0;890.3;19.4;85
0;888.3;25.6;55
0;888.6;20.7;74
0;889.1;19.9;80
0;887;25.3;45
0;887.4;21.1;60
0;889.4;22.7;61
0;886.5;27.1;35
0;887.3;22.2;66
0;890.3;23.7;56
0;887.4;27.5;37
0;886.9;22.3;49
0;889.3;23.1;53
0;887.1;27;31
0;888.6;21.8;48
0;889.4;22.3;52
0;885.9;26.2;44
0;887.8;19;79
0;889.1;23.5;56
0;886.2;28.5;38
0;887.1;21.1;74
0;887.3;24;42
0;885.2;28.7;30
0;886.4;21.1;59
0;887.4;25.1;48
0;885.3;29.7;30
0;886.1;21.7;65
0;887.3;25.7;47
0;884.6;29.2;37
0;884.2;22.2;72
0;885.1;25;62
0;882.1;29;40
1.2;884.1;20.5;87
6.3;884.7;23.9;70
0;883.1;23.2;69
0;884.3;21.8;77
0;887.5;22.4;74
0;885.4;24.8;63
0;887;21.8;78
0;888.7;21.7;68
0;886.2;25.8;59
1.1;888.5;20.1;92
28.8;888.6;22.3;77
0;885.1;23.9;72
2.5;886.1;20.5;91
0;888.3;21.4;84
0;885;26.4;60
9.1;886.9;20.6;89
3.6;889;19;91
.6;887.3;24;70
0;887.4;21;89
.1;887.9;19.7;89
0;885.8;23.6;68
.2;888.1;20.1;92
1.8;890.6;18.3;87
0;888.2;23;64
0;889;19.8;81
0;891.1;18;79
0;888.2;22.4;63
0;889.4;18.3;77
0;889.8;18.7;75
0;886.5;24.9;48
0;887.3;20.2;67
0;889.5;20.5;65
0;886.9;26.5;47
0;887.7;22.2;64
0;889.1;22.4;63
0;886.1;26.4;50
0;887.9;21.5;83
0;889.5;22.8;61
0;886.7;27.3;46
0;887.5;20.5;76
0;889;21.3;59
0;886.6;26.6;44
0;887.8;22.1;60
0;888.9;21;65
0;885.9;25.7;46
0;887.4;21.2;65
0;888.1;21.4;64
0;885.4;26;48
0;886.2;20;70
0;888.9;21.3;57
0;885;24.3;54
1.3;886.2;19;86
.2;887.1;22.3;64
10.6;884.2;21.7;78
3;886.2;17.5;94
0;887.7;19.3;88
10.4;885.1;21.2;79
.1;886.3;18.6;91
.1;888.5;20.3;73
0;885;24.2;63
0;886.7;18.5;77
0;887;19.9;67
0;884.9;25.8;43
0;887.9;17.9;75
0;888.3;21.4;54
0;884.6;27.1;33
0;886.7;20.3;66
0;889;21.1;56
0;885.8;25.9;42
0;887;18.4;80
0;887.8;22.1;61
0;886.7;28.1;44
0;886.5;20;80
0;887.7;23.4;62
0;886.9;27.4;45
7;885.2;20.8;87
0;886.6;22.3;75
0;884.3;26.9;50
4.4;886.2;19.4;90
.2;886.9;23.9;66
0;884.6;24.9;61
0;886.5;19.9;89
0;887.3;21.9;78
0;885.7;25.3;60
0;887.5;20.7;86
15.4;889.4;19.9;82
0;887.8;23.6;71
0;889.3;20;93
0;889.9;19.8;87
0;887.7;22.7;71
0;889.4;19.2;90
0;891.1;17.8;83
0;889.1;21.2;70
0;889.4;17.9;87
0;891.3;18;79
0;888.6;22.9;59
0;889.8;18.5;72
0;890.1;18.1;68
0;886.7;24.5;46
0;888.5;17.1;74
0;889.5;19.9;58
0;887.9;24.1;41
0;889.4;17.9;76
0;890.6;19.4;71
0;887.9;25.1;47
0;888.3;19.1;73
0;889.8;21.6;63
0;886.9;26.2;46
0;888.6;20.7;60
0;890.2;22.6;67
0;887;25.7;51
0;890.1;21.5;73
0;889.1;22;59
0;889.7;25.9;49
3.6;890.2;20.1;79
.1;892.3;18.7;77
0;890.3;23.9;49
0;891;19.1;71
0;891.9;18.2;69
0;888.5;22.3;48
0;889.7;18.4;69
0;890.6;17.8;67
0;887.4;23.3;47
0;888.5;19.4;64
0;890.3;19.7;58
0;886.9;24.7;46
0;888.7;18.3;75
0;889.5;21.4;62
0;887.4;24.4;50
0;888.7;20.3;62
0;889.8;20;53
0;887.7;24.7;41
0;888.6;19.7;60
0;889.8;19.4;61
0;888.1;24.4;38
0;889;19.8;62
0;890.3;20;64
0;887.9;24.6;41
0;889.5;20.1;59
0;890.2;21;60
0;888.2;24.7;41
0;889.1;17.9;80
0;890.2;19.5;71
0;887.1;24.5;44
0;888.7;17.3;71
0;889.5;21;59
0;886.7;24.5;42
0;888.1;17.7;73
0;889.8;21.4;51
0;886.5;26.7;34
0;887.8;18.2;73
0;888.9;22.6;61
0;885.8;27.2;39
0;887.8;18.4;76
0;888.9;23.1;60
0;885.7;27;39
0;887.5;20.1;70
0;889.1;20.1;79
0;886.3;27.4;45
0;888.7;21.3;78
0;890.3;20.1;79
0;886.9;26.5;52
0;889.3;20.3;79
0;891.3;21.5;74
0;887.9;28;42
0;890.1;20.1;75
0;891.4;21.8;63
0;888.3;27.8;41
0;889.5;20.4;75
0;890.3;24.1;58
0;886.5;27.3;46
0;887.3;22.5;62
0;888.7;22.9;60
0;885.4;27.2;42
0;887.3;21.1;69
0;889.7;20.3;74
0;887.4;26.8;41
0;889;20.5;70
0;890.2;21.9;63
0;887.5;26.5;44
0;887.3;21.7;63
0;899.9;22.4;59
0;887.5;26.4;31
0;888.6;18.5;74
0;889;22.4;50
0;886.2;26.3;37
0;887.4;20;64
0;889.3;20.8;60
0;887.1;26.1;39
0;889.5;21.5;54
0;891.7;20.5;60
0;888.6;26.2;36
0;890.1;20.5;56
0;891.8;19.7;62
0;889.4;25.3;24
0;890.3;19.9;53
0;890.7;18.6;65
0;888.9;24.6;46
0;890.6;20.4;67
0;890.6;19.1;73
0;887.3;24.2;46
0;888.5;19.8;70
0;889.4;20.4;67
0;886.7;25.5;42
0;888.3;18.4;75
0;889.5;21;61
0;885.8;25.9;46
0;888.1;20.6;62
0;890.3;21.3;60
0;886.5;26.7;39
0;888.2;21.4;54
0;889.7;20.4;62
0;886.9;26.1;41
0;887.8;21.2;54
0;889.3;20.9;63
0;886.6;25.7;45
0;888.9;19;83
0;888.2;19.4;72
0;886.3;25.5;46
0;887.7;20.8;73
0;890.1;19.2;71
0;887.7;24.7;54
.1;889.5;20.2;74
0;890.7;19;76
0;887.9;23;59
.2;889.4;19.6;77
27.2;891.4;17.9;86
0;888.3;23.6;57
0;889.1;17.1;87
.2;889.3;20.3;74
0;886.9;25.3;42
0;888.9;17.9;65
0;891.1;18.7;47
0;888.6;24.7;34
0;889.7;15.6;65
0;892.5;18.7;44
0;889.9;24.4;34
0;890.9;19.7;54
0;892.7;19.3;58
0;889.7;24.1;49
0;891.5;19.3;73
0;891.7;20.4;60
0;888.2;25.5;44
0;890.1;19.2;78
0;891.7;21.5;58
0;889.5;25.4;35
0;890.9;20.6;46
0;891.7;21;49
0;888.7;26.3;32
0;890.2;20.3;49
0;891.4;19.6;58
0;888.1;25.4;36
0;889.8;20.3;59
0;891;18.5;70
0;887.8;27.3;32
0;889.9;20.8;60
0;890.9;20;61
0;888.7;24.9;38
0;889.3;18.9;57
0;890.3;17.5;55
0;887.3;23.1;36
0;889.3;16.4;52
0;890.7;17.2;59
0;888.3;23.8;38
0;889.1;19.2;55
0;891.1;17.7;60
0;889.1;22.8;39
0;890.9;15.3;67
0;892.1;16.3;69
0;889.9;22.1;46
0;891;14.2;78
0;892.1;11.7;59
0;889.5;21.5;34
0;890.9;14.6;72
0;892.3;16.1;39
0;889.5;23.5;42
0;891.8;15.8;71
0;893.8;16.6;75
0;891;24.3;41
0;892.3;18.1;65
0;893.9;17.4;67
0;891.4;23.2;39
0;892.1;15.6;71
0;892.8;16.1;58
0;890.1;22.7;37
0;891.9;14.4;71
0;893.3;17;54
0;890.3;23.6;37
0;892.3;16.4;61
0;893.6;16.7;46
0;889;23.9;37
0;890;17.1;57
0;890.9;18.3;55
0;887.7;25.4;31
0;889.3;17.8;51
0;890.5;18;53
0;887.9;24.9;27
0;890.2;17.1;55
0;890.3;17.9;50
0;888;24.6;29
0;890.1;18.9;43
0;890.6;17.2;51
0;888.9;23.4;31
0;890.1;15.4;65
0;891.7;18.4;48
0;888.5;23.8;31
0;889.1;18.1;49
0;891.1;17.6;49
0;889.5;24;34
0;891.1;19;48
0;892.3;17.5;52
0;890.1;23.5;34
0;891.3;18.7;45
0;891.7;19.2;45
0;888.2;24.3;37
0;889.5;19.5;51
0;891.9;19.8;53
0;890.9;26.3;34
0;889.5;18;67
0;889.7;21.3;48
0;886.6;26.9;37
0;888.2;18.8;60
0;890.1;22.5;48
0;887.5;26.8;35
0;889.9;19.2;69
0;891.7;21.9;48
0;888.5;28.5;30
0;890.5;19.7;55
0;891.9;18.3;61
0;888.3;25.8;34
0;890.6;18.9;42
0;890.9;18.5;36
0;888.7;25.8;25
0;891.4;18.9;46
0;893.3;18.8;48
0;891.1;24.6;38
0;892.9;21.4;51
0;891.3;18.9;61
0;892.2;24.1;39
0;893.4;23.3;52
0;893.5;16.5;68
0;890.9;22.7;38
0;891.9;17.9;56
0;893.7;15.4;60
0;890.3;23;35
0;891.3;18;41
0;891.4;16.5;57
0;888.6;24.7;36
0;891.5;19.2;53
0;891.2;18.2;52
0;887.9;24.6;34
0;889.1;19.6;45
0;890.2;19.8;38
0;887.4;27.1;28
0;888.6;18.3;55
0;889;21.2;45
0;886.5;28.7;27
0;888;17.5;53
0;891.5;13.3;41
0;888.5;24;38
0;890.1;16.3;43
0;892.5;15.3;74
0;889.4;25.8;30
0;891.3;18.5;53
0;889.8;16.9;58
0;890.7;25.5;36
0;893.5;18.5;65
0;895.8;16.5;70
0;892.3;24.8;40
0;894.1;19.9;54
0;894.3;15.4;64
0;891.4;23.8;38
0;892.7;18.6;57
0;892.6;19.6;45
0;891.3;25.9;31
0;891;19.8;50
0;892.9;19.7;47
0;890.6;25.1;30
0;892.3;20.2;40
0;895;16.5;60
0;891.8;23.1;35
0;894.3;18.1;49
0;895.3;15.5;79
0;892.1;21.3;45
0;893;18.5;57
0;893.7;14.9;73
0;891;21.7;47
0;891.5;17.4;61
0;893;15.7;63
0;889.4;24.1;33
0;890.9;18.9;51
0;892.7;17.3;64
0;890.6;24.6;35
0;891.1;20.1;54
0;891.8;20.8;57
0;888.7;25.9;33
0;889.9;19;60
0;890.6;21.4;46
0;888.1;28.3;28
0;889;19.9;53
0;890.5;22.6;36
0;887.8;28.2;26
0;889.4;22.5;34
0;890.9;19.7;44
0;888.5;26.8;27
0;888.7;21.5;36
0;892.1;19.7;46
0;889.1;27.4;23
0;889.8;21.9;34
0;890.2;23.5;37
0;887.1;27.8;29
0;888.6;22.2;37
0;889.7;22.5;38
0;886.9;27.8;21
0;889.1;21.1;45
0;890.5;22.4;36
0;889.3;28.2;23
0;891.3;22.7;40
0;892.3;21.1;45
0;889.7;27;24
0;890.5;21.5;33
0;891;18.6;54
0;887.9;25.4;31
0;888.9;20.7;43
0;889.7;20;50
0;886.6;25.3;31
0;888.5;19.9;46
0;890.3;19.9;48
0;886.5;26.3;29
0;888.1;21.1;41
0;888.6;20.2;47
0;885.4;27.2;26
0;887;22;41
0;887.7;22.2;38
0;885;28.4;26
0;885.9;23.2;38
0;887.5;22.4;41
0;885.5;28.9;20
0;885.5;23.3;35
0;886.9;21.5;43
0;883.5;29.8;25
0;885.7;24.3;32
0;887.3;23.5;33
0;884.2;30.7;23
0;886.3;25.1;33
0;888.5;24.1;38
0;885.5;30.3;23
0;887.5;24.6;37
0;890.3;21.4;46
0;886.2;28.1;28
0;889.1;22.8;44
0;891.1;19.3;65
0;888.3;27.3;35
0;889;21.9;51
0;889.5;20.1;57
0;886.1;26.6;37
2.8;888.5;18.8;70
0;890.3;20.1;54
0;886.7;26.7;32
0;888.5;21.4;49
0;891.1;18;68
0;887.4;26;33
0;888.3;21.1;48
0;890.5;19.3;65
0;886.6;27.1;30
0;888.6;23.1;42
0;889.9;21.7;49
0;885.8;29.7;21
0;887.3;20.5;51
0;888.7;24.4;37
0;885.5;29.5;20
0;887.5;22.3;42
0;889.5;27.7;28
0;885.7;31.7;21
0;886.9;22.8;47
0;888.6;26.8;31
0;885.3;32.8;22
0;886.3;23.6;42
0;887.4;27.6;24
0;884.9;32.4;16
0;886.5;27.4;32
0;889.5;25.5;35
0;885.4;30.1;26
0;886.9;25.5;39
0;888.3;27.2;27
0;885;32.6;17
0;886.6;24.6;41
0;888.6;25;39
0;886.3;32.7;16
0;887.1;23.7;37
0;889.5;26;33
0;886.5;32.8;14
0;887.9;25.7;30
0;889.9;26.3;29
0;886.9;31.6;21
0;888.3;26.3;33
0;889.9;25.2;32
0;886.1;31.7;18
0;888.5;25.1;27
0;888.7;28.5;23
0;886.1;32.5;17
0;887.9;22.8;46
0;890.1;27.7;24
0;887;32.6;17
0;888.6;27.5;27
0;891.7;25.5;24
0;888.6;32.1;21
0;889.5;26.3;26
0;891.7;22.7;36
0;887.4;28.6;24
0;888.9;23.3;28
0;890.3;23;38
0;885.3;29.1;22
0;887.1;24.3;50
0;889;26;16
0;885.4;32.4;11
0;887.3;26.9;22
0;888.5;28.2;25
0;885.1;33.2;19
0;887.4;25.8;36
0;888.8;27.3;32
0;885.1;33.2;21
0;886.1;24.7;43
0;885.4;28.3;30
0;883;33.8;21
0;884.3;25.5;40
0;888.1;22.8;63
0;885.3;30.8;36
0;886.2;26.3;46
0;889.8;22.9;60
0;886.2;26.7;45
1.2;887.9;22.3;60
.8;891;18.3;89
2.9;887.8;25.7;59
0;888.6;21.6;70
0;892.1;21.2;63
0;888.6;26.7;50
0;888.3;23.7;57
0;890.7;22.7;54
0;887.8;30.2;28
0;887.1;23.3;53
0;889.7;22.9;49
0;885;31.3;25
0;886.1;26.3;40
0;887.8;26.2;40
0;884.2;30.6;30
6.1;886.2;22.2;68
0;886.2;24.2;59
0;883.4;30;35
0;885.1;23.9;63
0;887;25.8;60
0;883.8;26.3;58
0;885.5;21.8;72
6.8;888.1;19.4;82
0;884.5;25.4;46
0;884.2;21.1;76
0;887.3;23.9;62
0;883.7;30.7;37
0;884.7;23.3;66
.8;887.3;23.2;76
0;883.4;31.6;31
0;885.3;24.8;57
0;887.9;24.3;59
0;883.7;33;21
0;885.4;26.6;41
0;888.5;26.1;44
0;885;32.4;21
0;885.7;25.8;40
0;886.3;26.6;38
0;883;31.6;27
0;885;26.1;45
0;886.9;24.5;59
0;882.6;31.4;28
0;884.5;25.5;53
0;887.1;24.9;57
0;883.3;31.1;34
0;884.5;23.8;61
0;887.1;22.1;72
0;883;26;58
55;887.3;18.8;94
2.2;887;21.7;74
0;885.1;25.5;61
0;886.3;21.6;79
0;888.3;23.8;71
0;883.9;28.2;52
0;885.3;22.3;79
16.4;886.5;22.3;84
0;883.1;25.5;65
0;885;22;86
0;886.3;23;78
0;883.4;25.8;65
24.6;886.9;19.7;89
0;888.6;23.2;67
0;884.9;28.6;42
0;886.3;23;70
0;889.3;24.4;68
0;887.3;25.1;63
0;887.5;20.4;80
0;888.1;25.3;60
0;884.2;30.1;36
0;886.9;21.7;80
0;887.7;23.5;68
0;884.6;24.1;70
0;887;20.5;80
1;889;20;93
0;885.4;25.8;60
1;887;20.5;93
.3;887.5;23.5;71
0;883.8;29.8;44
0;885.4;22.7;80
9.6;887.5;21.9;82
0;884.3;26.1;62
.4;885.5;20.9;87
.2;887.5;21.3;85
3.6;884.2;23;78
0;884.3;19.2;89
0;886.9;21.9;82
0;883.4;28;47
0;884.3;22.3;76
0;887.7;23.9;70
0;884.9;27.4;51
0;888.3;20.3;83
0;888.7;23.1;74
0;885.8;27.1;54
3.9;889.3;20.8;92
.4;899.8;22.8;81
0;886.5;26.5;59
0;888.8;22.6;75
0;890.7;21.9;77
0;887.7;28.8;37
0;889;24.7;44
0;891.5;23.5;58
0;887.1;29.1;39
0;888.3;24.4;54
0;889.5;23.2;62
0;885.7;29;35
0;885.8;25.2;47
0;887.9;23.9;58
0;884.5;27.8;42
9.4;887.3;18.1;91
0;887.8;20.2;84
8;885;24.5;98
0;885.8;19.5;89
0;887;20.8;82
0;883.9;25.3;54
0;886.1;20.4;80
0;887.3;21.1;82
0;884.1;25.6;58
0;885.4;19.9;85
0;886.1;21.5;86
0;882.1;23;61
0;884.3;19.6;92
0;885.5;22.6;74
3.6;883.6;20.1;91
0;884.5;20;92
0;885.9;23.5;74
24.2;883.7;22.1;82
8.1;884.3;18.6;96
.1;885.7;24.9;71
0;882.3;29.9;42
0;885.1;22.1;78
0;885.9;21.1;87
.1;883;26.6;55
.1;884.5;20;88
0;886.3;21.9;80
38.8;884.2;21.8;83
0;885.1;20.3;96
0;886.3;20.5;86
0;883.5;23.3;72
0;884.7;20.7;83
.3;885.9;21.4;83
1.9;884.6;23.5;76
0;885.3;19.5;93
22;888.7;19.7;94
0;885.5;23.5;72
2.2;887.1;19.2;92
8;887.7;21.5;84
5.4;884.3;20.9;87
3.8;886.7;19.2;95
6.6;886.3;20.2;90
0;883.7;21.8;88
0;885;20.1;92
8.4;887.4;19.7;95
0;884.6;21.1;84
20.8;886.6;18.1;96
3.2;887.4;17.9;93
0;884.9;21.8;78
0;887;19.1;87
7.8;888.1;17.7;97
.2;886.5;21.8;77
0;885.3;20.1;87
1;887.1;19.6;93
0;884.3;24;70
0;884.7;22.1;80
1;886.5;20.7;86
25.8;884.3;19.2;91
0;885.1;18.4;93
0;886.7;22.4;76
0;883.4;26.8;54
5.2;885.8;20.1;93
22;887;21.8;85
0;884.2;24.7;71
.3;885.7;21.3;89
.6;886.6;23.5;78
10.9;883.4;23.1;81
6.9;885.7;20.6;97
.2;885.7;23.9;74
0;883;27.2;53
13.6;885.7;20.3;90
10.8;888.1;22.4;82
0;884.6;28;57
1.4;886.5;20.8;89
.2;888.6;24.3;72
0;884.5;26.1;61
0;885.5;19.3;82
0;887.3;24.8;46
0;884.5;28.8;39
0;886.2;23.9;53
0;886.9;24.6;45
0;888.3;28.2;44
0;883.9;22.9;70
0;884.1;23.6;72
2.2;882.3;25;68
0;883;22.1;80
.3;884.6;22.8;82
0;882.7;25.2;66
0;883.7;21.2;85
31.2;884.6;22.9;80
0;883.3;23.9;81
13.4;883.7;18.5;90
13.4;885.4;23.2;77
1.3;882.5;25.2;70
0;884.1;21.2;87
1.4;885.5;22.2;87
0;882.7;26.1;69
33.6;884.3;19.4;95
.7;886.5;20.8;95
0;883.4;24;79
0;883.4;21.7;92
0;884.2;24.1;70
6.3;882.7;23.8;84
0;883.8;20.5;90
62.9;887.5;18.4;93
0;885;25.1;73
0;886.5;20.5;92
0;888.5;22.2;78
0;886.1;23.8;68
0;886.5;19.7;87
0;887.1;22.4;79
2.3;883.9;27.8;55
16.8;885.7;20.4;94
.4;884.3;23.7;72
0;881.8;28.2;50
8;883.3;21.3;82
0;885;23.1;65
0;883.7;22;76
7.8;884.5;18.8;95
0;885.5;21.7;79
0;883.4;25.2;64
.2;883.8;20.1;89
0;885.1;23.3;77
0;882.7;26;63
0;882.9;22.3;86
0;884.5;22.8;85
.7;881.8;25.6;71
8;882.7;19.5;95
2.1;883.9;22.8;80
5.3;882.6;24.5;71
0;883.9;21.1;90
7.7;886.5;22.3;86
0;883.8;25.9;62
32.2;887;18.7;96
1.2;886.5;22.6;81
0;883.5;25.8;60
.4;885.1;20.7;86
.4;886.3;22.1;84
1;884.3;20.1;91
0;884.2;20.2;86
0;884.6;24;66
1;883.4;22.5;75
.2;884.8;19.8;92
.7;886.5;22.4;79
0;883.5;25.2;67
4.9;885.9;20.3;95
5.8;887.1;20.3;91
0;883.7;26.1;60
0;885.4;21.7;81
1.7;885.9;21.5;87
.6;882.7;24.4;79
48.6;883.5;19.7;97
9.5;885.1;21.8;83
.1;883.1;27.1;60
7;883.7;19.4;95
0;883.7;23.2;76
1.2;882.1;24.2;79
14.2;883.1;20.6;95
.2;883.9;23.3;80
6.1;881.9;25.5;59
0;884.3;20.9;91
.4;885.1;22.6;74
1.4;882.3;24.8;77
.3;883.3;19.7;91
11.4;882.6;19.4;94
4.8;881.1;20.8;74
1.9;883.5;17.6;86
0;882.3;19.5;85
0;882.2;24.3;59
0;883.2;21.8;73
0;885.7;20.6;78
0;883;26.6;50
0;883.8;22.7;66
0;885;23.5;73
0;882.5;26.6;53
.3;884.5;21;85
.6;887.1;22.3;79
.1;885.1;24.3;67
0;886.5;20;92
.2;889.1;20.8;87
.2;884.7;24.6;61
0;885.3;21.2;83
5.6;885.1;20.9;85
8.2;883.4;21.6;81
6.6;883.4;18.4;96
7;883.8;18.9;96
1.8;882.2;20;89
2.4;883.4;19.2;90